p_pdp_cp_new,p_pdp_cp_new_url1,p_pdp_cp_new_name,p_pdp_cp_new_url2
hp-3-year-pickup-and-return-support-w-accidental-damage-protection-hp-15-17---pav-10-nb,1471802%2C1471802,hp-3-year-pickup-and-return-support-w-accidental-damage-protection-hp-15-17---pav-10-nb,1471802%2C1471802
hp-2-year-pickup-and-return-support-w-accidental-damage-protection-for-hp-15-17---pav-10-nb,1471800%2C1471800,hp-2-year-pickup-and-return-support-w-accidental-damage-protection-for-hp-15-17---pav-10-nb,1471800%2C1471800
hp-3-year-pickup-and-return-support-w-accidental-damage-protection-hp-15-17---pav-10-nb,1471802%2C1471802,hp-3-year-pickup-and-return-support-w-accidental-damage-protection-hp-15-17---pav-10-nb,1471802%2C1471802
hp-2-year-pickup-and-return-support-w-accidental-damage-protection-for-hp-15-17---pav-10-nb,1471800%2C1471800,hp-2-year-pickup-and-return-support-w-accidental-damage-protection-for-hp-15-17---pav-10-nb,1471800%2C1471800
hp-3-year-pickup-and-return-support-w-accidental-damage-protection-hp-15-17---pav-10-nb,1471802%2C1471802,hp-3-year-pickup-and-return-support-w-accidental-damage-protection-hp-15-17---pav-10-nb,1471802%2C1471802
hp-2-year-pickup-and-return-support-w-accidental-damage-protection-for-hp-15-17---pav-10-nb,1471800%2C1471800,hp-2-year-pickup-and-return-support-w-accidental-damage-protection-for-hp-15-17---pav-10-nb,1471800%2C1471800
hp-3-year-pickup-and-return-support-w-accidental-damage-protection-hp-15-17---pav-10-nb,1471802%2C1471802,hp-3-year-pickup-and-return-support-w-accidental-damage-protection-hp-15-17---pav-10-nb,1471802%2C1471802
hp-2-year-pickup-and-return-support-w-accidental-damage-protection-for-hp-15-17---pav-10-nb,1471800%2C1471800,hp-2-year-pickup-and-return-support-w-accidental-damage-protection-for-hp-15-17---pav-10-nb,1471800%2C1471800
hp-3-year-pickup-and-return-support-w-accidental-damage-protection-hp-15-17---pav-10-nb,1471802%2C1471802,hp-3-year-pickup-and-return-support-w-accidental-damage-protection-hp-15-17---pav-10-nb,1471802%2C1471802
hp-2-year-pickup-and-return-support-w-accidental-damage-protection-for-hp-15-17---pav-10-nb,1471800%2C1471800,hp-2-year-pickup-and-return-support-w-accidental-damage-protection-for-hp-15-17---pav-10-nb,1471800%2C1471800
hp-3-year-pickup-and-return-support-w-accidental-damage-protection-hp-15-17---pav-10-nb,1471802%2C1471802,hp-3-year-pickup-and-return-support-w-accidental-damage-protection-hp-15-17---pav-10-nb,1471802%2C1471802
